location_id,name,area,latitude,longitude
rosa-parks,Rosa Parks Downtown Station,Downtown,29.645567,-82.322697
library,Headquarters Library,Downtown,29.651534,-82.321560
reitz,Reitz Union,UF campus,29.646340,-82.347740
butler,Butler Plaza Transit Center,Southwest Gainesville,29.625180,-82.387890
santa-fe,Santa Fe College NW Campus,Northwest Gainesville,29.680900,-82.434500
eastside,Eastside Community Center,East Gainesville,29.651726,-82.287456
swag,SWAG Family Resource Center,Southwest Gainesville,29.644991,-82.411422
northwood,Northwood neighborhood,North Gainesville,29.701500,-82.349500
